Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-01-02,149.05729259632733,149.13021837747158,147.84201950095448,148.19850158691406,119636900,0.0,0.0,0.0
2014-01-03,148.44963797826006,148.74941371172457,147.96353621672114,148.17417907714844,81390600,0.0,0.0,0.0
2014-01-06,148.66035247067484,148.71705880238466,147.51799247765643,147.74484252929688,108028200,0.0,0.0,0.0
2014-01-07,148.33620544756394,148.9033303216914,148.22278047273844,148.6521759033203,86144200,0.0,0.0,0.0
2014-01-08,148.62786690440757,148.93573998200495,148.17416701893444,148.68458557128906,96582300,0.0,0.0,0.0
2014-01-09,149.1625704895377,149.1787775868771,148.10123431808,148.7817840576172,90683400,0.0,0.0,0.0
2014-01-10,149.03296835757862,149.2517209472044,148.27139534083344,149.18690490722656,102026400,0.0,0.0,0.0
2014-01-13,148.8061530346556,149.2193414779922,146.9184271540029,147.20199584960938,149892000,0.0,0.0,0.0
2014-01-14,147.68809703327938,148.8871755028038,147.41263807233395,148.80615234375,105016100,0.0,0.0,0.0
2014-01-15,149.15445452707934,149.83500418177283,148.83848416151508,149.608154296875,98525800,0.0,0.0,0.0
2014-01-16,149.30034759019586,149.60822072599845,148.93576813918585,149.4137725830078,72290600,0.0,0.0,0.0
2014-01-17,149.15447312206453,149.4380293323418,148.52253231215244,148.7817840576172,107848700,0.0,0.0,0.0
2014-01-21,149.6405667703482,149.69728542680332,148.3037718276459,149.21926879882812,88621200,0.0,0.0,0.0
2014-01-22,149.4704648610254,149.53528089724108,149.0005578702578,149.3165283203125,61270900,0.0,0.0,0.0
2014-01-23,148.5630772343338,148.5873817066264,147.30730495789385,148.09317016601562,132496900,0.0,0.0,0.0
2014-01-24,147.12900859439114,147.17761752069785,144.88480171822454,144.93341064453125,208677100,0.0,0.0,0.0
2014-01-27,145.0711677028252,145.44385681285388,143.49941285328634,144.22047424316406,180843100,0.0,0.0,0.0
2014-01-28,144.32577868279253,145.26559249430284,144.309571586072,145.07925415039062,110463200,0.0,0.0,0.0
2014-01-29,143.87211414643215,144.65799163774983,143.3049892460987,143.68577575683594,216597300,0.0,0.0,0.0
2014-01-30,144.88480979510462,145.67878448129093,144.423000244662,145.20887756347656,118938100,0.0,0.0,0.0
2014-01-31,143.4102887661334,145.25750244599578,143.33737536460063,144.3582000732422,194677900,0.0,0.0,0.0
2014-02-03,144.18806858252796,144.51213638599648,140.83391613081236,141.109375,254837100,0.0,0.0,0.0
2014-02-04,141.7413724706553,142.46243412934248,141.06082239417736,142.0978546142578,165012400,0.0,0.0,0.0
2014-02-05,141.60357000671317,142.2355108038337,140.73668193369616,141.91954040527344,164230500,0.0,0.0,0.0
2014-02-06,142.251690746167,143.79103088378906,141.9600248676039,143.79103088378906,132877600,0.0,0.0,0.0
2014-02-07,144.46355615895635,145.7274381509893,143.9936490968729,145.57350158691406,170787200,0.0,0.0,0.0
2014-02-10,145.58972686434663,145.88950266006307,145.19274553101138,145.84088134765625,92218800,0.0,0.0,0.0
2014-02-11,145.9623802155983,147.80959403636945,145.86514997707675,147.43690490722656,117814100,0.0,0.0,0.0
2014-02-12,147.6556076487537,148.12551449540263,147.21811499146872,147.50978088378906,94717700,0.0,0.0,0.0
2014-02-13,146.51329949081497,148.42532936929877,146.50520212185364,148.27139282226562,100542200,0.0,0.0,0.0
2014-02-14,148.1336396770365,149.36511949389333,147.9959102523555,149.08966064453125,96498400,0.0,0.0,0.0
2014-02-18,149.21932302885187,149.47048984707172,148.7899275342391,149.2679443359375,80460900,0.0,0.0,0.0
2014-02-19,148.87900661461964,149.84312495724913,148.15794529017805,148.27947998046875,126524300,0.0,0.0,0.0
2014-02-20,148.48208833746767,149.49481604028315,147.9392677722464,149.154541015625,104998100,0.0,0.0,0.0
2014-02-21,149.43804435438753,149.79452635733034,148.91143108065475,148.98434448242188,118116400,0.0,0.0,0.0
2014-02-24,149.3003266619537,150.8153629312274,149.23551062337577,149.8107452392578,114063900,0.0,0.0,0.0
2014-02-25,149.9322998917876,150.36169542279458,149.25984725433946,149.75405883789062,117085000,0.0,0.0,0.0
2014-02-26,149.97280414356274,150.36979781010294,149.3408631151256,149.7621612548828,98677200,0.0,0.0,0.0
2014-02-27,149.5433438462918,150.58847282903034,149.37320024508728,150.5479736328125,93880800,0.0,0.0,0.0
2014-02-28,150.5236810461113,151.62552886080928,149.92415438675698,150.92877197265625,150842000,0.0,0.0,0.0
2014-03-03,149.60002445819836,150.24817219751915,148.8708659779562,149.8673858642578,167748500,0.0,0.0,0.0
2014-03-04,151.33393288178289,152.29805171078817,151.3015310321288,151.97398376464844,167545900,0.0,0.0,0.0
2014-03-05,152.1035817071545,152.3709432657178,151.8686219909639,152.11167907714844,88376900,0.0,0.0,0.0
2014-03-06,152.4843540639575,152.80842190710715,152.13596938829565,152.4600372314453,82516500,0.0,0.0,0.0
2014-03-07,153.09194790216094,153.09194790216094,151.85235845949697,152.52481079101562,114513500,0.0,0.0,0.0
2014-03-10,152.28991109870154,152.50055396764373,151.56884961523474,152.44384765625,74939200,0.0,0.0,0.0
2014-03-11,152.67067893018606,152.88943150424993,151.34198111115174,151.6903533935547,99009100,0.0,0.0,0.0
2014-03-12,150.95309777624945,151.78758414555313,150.61281049881393,151.73086547851562,104824400,0.0,0.0,0.0
2014-03-13,152.18456682546682,152.30610152925843,149.60819428869675,150.02947998046875,155014300,0.0,0.0,0.0
2014-03-14,149.7620907964253,150.5317609317852,149.4299133355422,149.608154296875,153919600,0.0,0.0,0.0
2014-03-17,150.36164263686388,151.3176636232725,150.296826607074,150.961181640625,98359500,0.0,0.0,0.0
2014-03-18,151.26905653240894,152.24127226630128,151.1070102747654,152.03872680664062,101804600,0.0,0.0,0.0
2014-03-19,152.05492272348843,152.26557791510368,150.26442776912222,151.22854614257812,176267300,0.0,0.0,0.0
2014-03-20,150.89640600862262,152.2251040690483,150.6290444500593,152.11167907714844,117241000,0.0,0.0,0.0
2014-03-21,152.75046482513406,153.816485435852,151.38334541893903,151.5216827392578,163128000,0.825,0.0,0.0
2014-03-24,152.0424664998827,152.22963968747018,150.23592364051524,150.8950653076172,121411000,0.0,0.0,0.0
2014-03-25,151.660029533502,152.12387741615595,150.7649034490005,151.6112060546875,103852000,0.0,0.0,0.0
2014-03-26,152.20525467344078,152.44938449879717,150.48009209698395,150.52078247070312,119843000,0.0,0.0,0.0
2014-03-27,150.34172170607778,150.82183572631462,149.65002275580326,150.20338439941406,142383000,0.0,0.0,0.0
2014-03-28,150.63467681564543,151.70069733435002,150.5451629788176,150.94390869140625,101642000,0.0,0.0,0.0
2014-03-31,151.90415725506446,152.416828609481,150.96834081210383,152.1808319091797,99745000,0.0,0.0,0.0
2014-04-01,152.6772090689357,153.27939421088394,152.17268329027638,153.18988037109375,89193000,0.0,0.0,0.0
2014-04-02,153.3851954141977,153.90599985255164,153.1003752485691,153.7025604248047,78774000,0.0,0.0,0.0
2014-04-03,153.93850806856966,153.9791984278284,153.02710362255414,153.49908447265625,77435000,0.0,0.0,0.0
2014-04-04,154.33729107895064,154.3698359240624,151.4403156026668,151.68443298339844,169381000,0.0,0.0,0.0
2014-04-07,151.3182221224456,151.57048498987527,149.69885245722065,150.00807189941406,140803000,0.0,0.0,0.0
2014-04-08,149.94299048633408,150.8706737747982,149.39777431317123,150.62655639648438,112660000,0.0,0.0,0.0
2014-04-09,151.03337432180768,152.29468832413113,150.59393838419962,152.24586486816406,100254000,0.0,0.0,0.0
2014-04-10,152.23774883428374,152.3109840264459,148.86064788679155,149.04782104492188,172959000,0.0,0.0,0.0
2014-04-11,148.2178410508257,149.25945001234336,147.5424206056769,147.70516967773438,167251000,0.0,0.0,0.0
2014-04-14,148.86068992537582,149.21874529966686,147.64819890065772,148.86883544921875,132382000,0.0,0.0,0.0
2014-04-15,149.17806671049902,149.99995751291175,147.70515485128857,149.8941650390625,157093000,0.0,0.0,0.0
2014-04-16,150.9276690376019,151.47288530563895,150.26038164220893,151.46475219726562,105197000,0.0,0.0,0.0
2014-04-17,151.26125765007822,152.09942693478808,151.00084927345333,151.67626953125,105255000,0.0,0.0,0.0
2014-04-21,151.71698355599767,152.254066603841,151.52982276670323,152.20523071289062,68329000,0.0,0.0,0.0
