Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-01-02,94.92789029345784,95.03861133683748,94.91207558747976,95.02279663085938,1470100,0.0,0.0,0.0
2014-01-03,94.96745801153756,95.11771887143928,94.93582255844096,94.9516372680664,113700,0.0,0.0,0.0
2014-01-06,95.06230661367684,95.1730276223489,95.01485647677237,95.1018524169922,131300,0.0,0.0,0.0
2014-01-07,95.14148283940324,95.21265810806342,95.10984737538278,95.18102264404295,95500,0.0,0.0,0.0
2014-01-08,95.01491044904374,95.01491044904374,94.81719338784066,94.82510375976562,98500,0.0,0.0,0.0
2014-01-09,94.90417976416434,94.95162992321592,94.79345870381376,94.9437255859375,176200,0.0,0.0,0.0
2014-01-10,95.26795367688524,95.46567066675937,95.25213897258652,95.41822052001952,123100,0.0,0.0,0.0
2014-01-13,95.50523446428468,95.6080451461973,95.49732409372376,95.58432006835938,311800,0.0,0.0,0.0
2014-01-14,95.49729643539423,95.50520680366412,95.3153941682454,95.33121490478516,167100,0.0,0.0,0.0
2014-01-15,95.15725908349512,95.26798014587958,95.1414443748025,95.24425506591795,91900,0.0,0.0,0.0
2014-01-16,95.37869131527272,95.4182371336705,95.33915153071968,95.37078094482422,118400,0.0,0.0,0.0
2014-01-17,95.41032377161264,95.47359466552734,95.34705287769798,95.47359466552734,94800,0.0,0.0,0.0
2014-01-21,95.35498809814452,95.4419840914879,95.35498809814452,95.35498809814452,146200,0.0,0.0,0.0
2014-01-22,95.22844331354084,95.26798310342258,95.14935166608628,95.19680786132812,158100,0.0,0.0,0.0
2014-01-23,95.40242274608576,95.6792314256148,95.40242274608576,95.5685043334961,174500,0.0,0.0,0.0
2014-01-24,95.7820182250192,95.86901418251536,95.67129719435933,95.75829315185548,101100,0.0,0.0,0.0
2014-01-27,95.68710752454103,95.81364928742148,95.63174701174172,95.64756774902344,238600,0.0,0.0,0.0
2014-01-28,95.71090662089462,95.7820879260284,95.63182097485,95.77417755126952,113800,0.0,0.0,0.0
2014-01-29,95.96394479207272,96.05885114855413,95.82159430811892,95.97185516357422,319800,0.0,0.0,0.0
