Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-01-02,45.12488129788065,45.21462261452875,44.87196546304771,44.97802734375,8771800,0.0,0.0,0.0
2014-01-03,45.05145176757701,45.27988985561792,44.99434224556679,45.084083557128906,3642500,0.0,0.0,0.0
2014-01-06,45.22278524215498,45.369639203902594,44.83117571490662,44.89644241333008,9123500,0.0,0.0,0.0
2014-01-07,45.10041083498268,45.51649814284505,45.10041083498268,45.36964416503906,5714000,0.0,0.0,0.0
2014-01-08,45.44306943972376,45.8346789950219,45.3206900920898,45.7694091796875,7793300,0.0,0.0,0.0
2014-01-09,45.834673901697926,46.14469926561296,45.72861201968357,46.112064361572266,6204700,0.0,0.0,0.0
2014-01-10,46.22628368884428,46.29971066725535,45.85914879678893,46.29155349731445,7734300,0.0,0.0,0.0
2014-01-13,46.38946040920303,46.56078900770009,45.818361968643394,45.916263580322266,12815600,0.0,0.0,0.0
2014-01-14,45.98967849722065,46.56893706886575,45.94072926034593,46.49551010131836,6943500,0.0,0.0,0.0
2014-01-15,46.59342014970548,46.59342014970548,46.33234713150594,46.4547233581543,10054100,0.0,0.0,0.0
2014-01-16,46.43840340936267,46.65052717039529,46.38129388421598,46.56894302368164,5489900,0.0,0.0,0.0
2014-01-17,46.56893754858891,46.69947403532505,46.38944871223848,46.51998519897461,6907500,0.0,0.0,0.0
2014-01-21,46.7565833005598,46.87080233680598,46.430240529369,46.78921508789063,5697400,0.0,0.0,0.0
2014-01-22,46.82185299361337,46.91159741706456,46.674999048372406,46.83001327514648,5391300,0.0,0.0,0.0
2014-01-23,46.64235192203482,46.78920582878626,46.20179331401519,46.50365829467773,7052900,0.0,0.0,0.0
2014-01-24,46.22627321166075,46.31601762184879,45.41041946411133,45.41041946411133,13101900,0.0,0.0,0.0
2014-01-27,45.39410658027162,45.492008168396175,44.8964352462658,45.04328918457031,13825900,0.0,0.0,0.0
2014-01-28,45.32884354081964,45.834672084452286,45.30436580764174,45.64702606201172,8806300,0.0,0.0,0.0
2014-01-29,45.336996009879215,45.68781339744557,45.07592303944407,45.230934143066406,12281200,0.0,0.0,0.0
2014-01-30,45.67966625516017,46.16102023359868,45.65518851914738,46.05495834350586,10714100,0.0,0.0,0.0
2014-01-31,45.58175872043136,45.92441899332377,45.43490476236829,45.65518569946289,10821300,0.0,0.0,0.0
2014-02-03,45.76940479298008,45.899941298901695,44.6761603887981,44.75774765014648,15808800,0.0,0.0,0.0
2014-02-04,45.01066929927643,45.25542801958839,44.87197559585363,45.19831848144531,10080000,0.0,0.0,0.0
2014-02-05,45.173830710486506,45.255417969884846,44.58641800399703,44.94539260864258,16384200,0.0,0.0,0.0
2014-02-06,45.0514644941527,45.25542801958839,44.9861946721398,45.19831848144531,7842200,0.0,0.0,0.0
2014-02-07,45.26358127737021,45.98969086717823,45.14120504003227,45.97337341308594,11497100,0.0,0.0,0.0
2014-02-10,46.063118826837695,46.3731442366633,45.88363305250599,46.35682678222656,7902800,0.0,0.0,0.0
2014-02-11,46.38943926054104,47.02580411469303,46.28337741410414,46.98501205444336,10380300,0.0,0.0,0.0
2014-02-12,47.131865961129925,47.24608497472288,46.84631531491284,46.98501205444336,6535800,0.0,0.0,0.0
2014-02-13,46.7321033278994,47.34399366035158,46.65051919513318,47.31951904296875,8256400,0.0,0.0,0.0
2014-02-14,47.27872792447369,47.56427550711557,47.18082634074437,47.490848541259766,8379800,0.0,0.0,0.0
2014-02-18,47.70297367034599,48.02931332976676,47.60506897150796,47.93141174316406,10874200,0.0,0.0,0.0
2014-02-19,47.915085684900944,48.0864142087335,47.57242863723583,47.6376953125,10732700,0.0,0.0,0.0
2014-02-20,47.70298234119066,48.14354111709967,47.53981092570338,48.07011413574219,9852300,0.0,0.0,0.0
2014-02-21,48.11905941297487,48.31486570519241,47.92325623299276,47.98036575317383,5196300,0.0,0.0,0.0
2014-02-24,48.14353771745311,48.616734477727945,48.07011074128066,48.3393440246582,6464300,0.0,0.0,0.0
2014-02-25,48.26592853227879,48.48620951320706,48.0782824623554,48.21697616577149,6858600,0.0,0.0,0.0
2014-02-26,48.35567298142399,48.51884442421193,48.10275708949085,48.21697616577149,7449000,0.0,0.0,0.0
2014-02-27,48.21697138587141,48.494361877441406,48.08643486702884,48.494361877441406,5980100,0.0,0.0,0.0
2014-02-28,48.535157068271545,48.959398420332846,48.07827769620447,48.494361877441406,10341200,0.0,0.0,0.0
2014-03-03,47.85799692797803,48.33119375581712,47.81720484922131,48.1353874206543,8919900,0.0,0.0,0.0
2014-03-04,48.57594345718766,49.11440692337283,48.57594345718766,49.04913711547852,9658900,0.0,0.0,0.0
2014-03-05,49.12255716941575,49.147034900043856,48.85332703038903,48.926753997802734,10740200,0.0,0.0,0.0
2014-03-06,49.18782281780248,49.35915135656654,48.51882299880798,48.624881744384766,14206800,0.0,0.0,0.0
2014-03-07,48.88596693840047,48.95123674793758,48.19249232936568,48.50251770019531,12630300,0.0,0.0,0.0
2014-03-10,48.50251844401609,48.7309565564276,48.25776287897006,48.70648193359375,7775900,0.0,0.0,0.0
2014-03-11,48.70648314898296,48.95123872013646,48.502519654315726,48.60858154296875,6031700,0.0,0.0,0.0
2014-03-12,48.37197619083934,48.65752379744398,48.22512224680396,48.60041427612305,8822700,0.0,0.0,0.0
2014-03-13,48.75542523953285,48.7799029716205,47.84166978897105,47.939571380615234,12551400,0.0,0.0,0.0
2014-03-14,47.86613566486311,48.05378475690253,47.65401506967733,47.678489685058594,8006100,0.0,0.0,0.0
2014-03-17,47.97220324672013,48.3474952511411,47.89061911088437,48.143531799316406,6430200,0.0,0.0,0.0
2014-03-18,48.24143244212679,48.75541805671316,48.19248009739879,48.65751647949219,6147200,0.0,0.0,0.0
2014-03-19,48.714644665206514,48.98387799605875,48.20065885360242,48.51068115234375,8404800,0.0,0.0,0.0
2014-03-20,48.51068115234375,48.567790686966426,48.249608104858304,48.51068115234375,4895400,0.0,0.0,0.0
2014-03-21,48.71944592227569,48.89137039174636,47.54055267406811,47.63060760498047,19504500,0.0,0.0,0.0
2014-03-24,47.794334224749,47.85164132904583,46.75461471064484,47.09845733642578,20490000,0.0,0.0,0.0
2014-03-25,47.2540035644884,47.835263068281,47.02477204517376,47.5159797668457,14646400,0.0,0.0,0.0
2014-03-26,47.73703303889454,48.10543500561921,47.491427563740295,47.53236389160156,13638300,0.0,0.0,0.0
2014-03-27,47.55691813862774,47.6797208631613,47.01659177208553,47.42593002319336,12961000,0.0,0.0,0.0
2014-03-28,47.57329477538708,48.01538086149159,47.09027548642175,47.24582290649414,13128800,0.0,0.0,0.0
2014-03-31,47.63879012152035,47.92532880467159,47.48324269215485,47.884395599365234,9508100,0.0,0.0,0.0
2014-04-01,48.02357330664045,48.40835234065613,47.85983734814419,48.18730926513672,10114900,0.0,0.0,0.0
2014-04-02,48.30192142149353,48.43290955805541,48.14637398526491,48.40016174316406,8999300,0.0,0.0,0.0
2014-04-03,48.49019699426916,48.52294479587076,47.97443004955184,48.29371643066406,9609100,0.0,0.0,0.0
2014-04-04,48.55570265738694,48.70306467212279,47.46686145106126,47.49142074584961,20115400,0.0,0.0,0.0
2014-04-07,47.24581853160515,47.77795948852996,46.79554709582418,47.0165901184082,15263300,0.0,0.0,0.0
2014-04-08,47.05752520735268,47.082084503180695,46.34527752131269,46.631813049316406,15165000,0.0,0.0,0.0
2014-04-09,46.73824993421807,47.63879299733452,46.70550211879474,47.63060760498047,14438600,0.0,0.0,0.0
2014-04-10,47.614215460681706,47.68789645566205,45.93592960057647,46.0423583984375,17622500,0.0,0.0,0.0
2014-04-11,45.83769481200642,46.41076581613181,45.48566369632783,45.60846328735352,14710100,0.0,0.0,0.0
2014-04-14,45.91957365647792,46.12424282001668,45.34649937396865,45.862266540527344,11085300,0.0,0.0,0.0
2014-04-15,46.04237497824853,46.451713292652215,45.37105726946326,46.35346984863281,17424500,0.0,0.0,0.0
2014-04-16,46.75462398370718,46.836490399510176,46.28797854302225,46.58270263671875,29585700,0.0,0.0,0.0
2014-04-17,46.59907178096503,46.811929451364925,46.32891011992328,46.57451248168945,8656900,0.0,0.0,0.0
2014-04-21,46.66455737385557,47.14757660141735,46.57450246520804,47.13120269775391,5545000,0.0,0.0,0.0
2014-04-22,47.46685902762606,47.90075653608279,47.40136653719992,47.646968841552734,8980300,0.0,0.0,0.0
2014-04-23,47.72884068695699,47.75340310629973,47.24582141325781,47.4095573425293,8668900,0.0,0.0,0.0
2014-04-24,47.65514444846704,47.65514444846704,46.89377527517509,47.33586120605469,8012600,0.0,0.0,0.0
2014-04-25,47.30312809866352,47.31950200374511,46.86104515347272,46.98384475708008,6368600,0.0,0.0,0.0
2014-04-28,47.37681744929522,47.589675129820094,46.64819572142914,47.262203216552734,9735200,0.0,0.0,0.0
2014-04-29,47.34407339442537,47.58148725559003,47.2212706445442,47.54055404663086,8955800,0.0,0.0,0.0
2014-04-30,47.4586785155992,47.65515913007607,47.29494258819977,47.58147811889648,11115200,0.0,0.0,0.0
2014-05-01,47.61422715952361,47.94988441401583,47.31131771595823,47.68790817260742,6857500,0.0,0.0,0.0
2014-05-02,47.67152876992311,47.7615836780857,47.18032415467617,47.278564453125,6126300,0.0,0.0,0.0
2014-05-05,47.11484571030076,47.606053627559945,46.8364954940884,47.58967971801758,7218700,0.0,0.0,0.0
2014-05-06,47.54054325714039,47.54054325714039,47.147578918910376,47.17213821411133,6117700,0.0,0.0,0.0
2014-05-07,47.23763860203201,47.31131961807812,46.68912367746582,47.303131103515625,9058100,0.0,0.0,0.0
2014-05-08,47.327677916611,47.58146557029611,46.918339767568185,47.0493278503418,7710000,0.0,0.0,0.0
2014-05-09,47.09844434061912,47.38498290604201,46.75460180971415,47.33586120605469,7298600,0.0,0.0,0.0
2014-05-12,47.52416939791337,47.851641241584936,47.44230299849696,47.81889343261719,5244500,0.0,0.0,0.0
2014-05-13,47.941703660839735,48.06450327919074,47.82708631150732,47.89258193969727,3230400,0.0,0.0,0.0
2014-05-14,47.86802019079381,48.07268933390752,47.72884354951479,47.92532730102539,3746700,0.0,0.0,0.0
2014-05-15,47.753404480824784,47.802523074917886,47.22126347612618,47.44230651855469,6469400,0.0,0.0,0.0
2014-05-16,47.49960071389113,47.64696270211538,47.245809929059945,47.60602951049805,8913400,0.0,0.0,0.0
2014-05-19,47.60603973389726,47.93350846016215,47.48323700967105,47.900760650634766,4386100,0.0,0.0,0.0
2014-05-20,47.9007640664794,47.93351187834206,47.458681098346325,47.59785461425781,4611800,0.0,0.0,0.0
2014-05-21,47.761583632207234,48.03993374671386,47.66334333385277,47.999000549316406,3921500,0.0,0.0,0.0
2014-05-22,48.01537610918178,48.441085124403685,47.85982558150177,48.28553771972656,3526100,0.0,0.0,0.0
